                                             152285
2017-11-23 | 19:32 | 35.37 | 1.179 | 30.00 | 152595 | ZB-ND-52 | Tango (Beek en Donk)
2017-12-01 | 07:58 | 26.60 | 1.209 | 22.00 | 153099 | ZB-ND-52 | Tango (Beek en Donk)
2017-12-07 | 18:57 | 30.91 | 1.189 | 26.00 | 153565 | ZB-ND-52 | Dijktank (Zaltbommel) 
2017-12-13 | 20:27 | 10.95 | 1.369 | 08.00 | 154061 | ZB-ND-52 | Shell (De Lucht West)
2017-12-15 | 00:00 | 00.00 | 0.000 | 00.00 | 154221 | ZB-ND-52 | Tango (Beek en Donk)
2017-12-21 | 07:58 | 26.60 | 1.199 | 25.00 | 154752 | ZB-ND-52 | Tango (Beek en Donk)
2017-12-29 | 08:30 | 31.95 | 1.229 | 26.00 | 155279 | ZB-ND-52 | Tango (Beek en Donk)
2018-01-08 | 09:02 | 28.50 | 1.239 | 23.00 | 155808 | ZB-ND-52 | Tango (Beek en Donk)
2018-01-11 | 18:35 | 20.60 | 1.239 | 16.63 | 156170 | ZB-ND-52 | Dijktank (Zaltbommel) 
2018-01-18 | 08:27 | 20.72 | 1.219 | 17.00 | 156652 | ZB-ND-52 | Tango (Beek en Donk) 
2018-01-23 | 20:54 | 30.66 | 1.169 | 26.23 | 157058 | ZB-ND-52 | Tango (Beek en Donk) 
2018-02-02 | 16:42 | 31.32 | 1.249 | 25.08 | 157873 | ZB-ND-52 | Firezone (Zwolle, Deventerstraatweg 10)
2018-02-07 | 18:10 | 30.48 | 1.219 | 25.00 | 158477 | ZB-ND-52 | Tango (Beek en Donk) 
2018-02-13 | 08:18 | 28.54 | 1.189 | 24.00 | 158960 | ZB-ND-52 | Tango (Beek en Donk)
2018-02-19 | 17:59 | 26.08 | 1.169 | 27.00 | 159482 | ZB-ND-52 | Dijktank (Zaltbommel)
2018-02-24 | 10:59 | 32.47 | 1.249 | 26.00 | 160006 | ZB-ND-52 | Schoenmakers (Helmond)
2018-02-28 | 19:19 | 34.70 | 1.239 | 28.01 | 160607 | ZB-ND-52 | Shell Kennedylaan West (Eindhoven)
